,count,mean,std,min,25%,50%,75%,max
happiness_score,782.0,5.379017902998669,1.1274564601550123,2.69300007820129,4.50975,5.322,6.189500000000001,7.769
gdp_per_capita,782.0,0.9160474824829717,0.4073401312898192,0.0,0.6065,0.9822047088146211,1.2361871089935301,2.096
social_support,782.0,1.0783924825069788,0.3295483193342901,0.0,0.8693625,1.124735,1.32725,1.644
life_expectancy,782.0,0.612415577116253,0.2483086403797618,0.0,0.44018250000000003,0.6473095147037504,0.808,1.141
freedom,782.0,0.4110908258223148,0.15288042062896512,0.0,0.30976750000000003,0.431,0.531,0.724
generosity,782.0,0.2185758415608299,0.12232074871938417,0.0,0.13,0.2019822115302085,0.2788325,0.838075160980225
corruption,782.0,0.12539157826211197,0.10575585115897151,0.0,0.05425,0.091,0.15586083810687074,0.55191
